Gene	Whole	Sample1	Sample2	Exp1	Exp2	Pvalue	Qvalue	OPC	NFOL	MOL
Stat1	signal transducer and activator of transcription 1	Control	Brg1_iko	25.9909	9.39528	5e-05	0.0131802	0	0	0
Hhipl2	hedgehog interacting protein-like 2	Control	Brg1_iko	3.40365	9.78551	0.00025	0.0486654	0	0	0
Cd24a	CD24a antigen	Control	Brg1_iko	33.7263	15.8852	5e-05	0.0131802	0	0	0
Phlda1	"pleckstrin homology-like domain, family A, member 1"	Control	Brg1_iko	235.956	387.869	0.00015	0.0332974	0	0	0
Pisd-ps1	"phosphatidylserine decarboxylase, pseudogene 1"	Control	Brg1_iko	39.1779	18.4242	5e-05	0.0131802	0	0	0
Myh10	"myosin, heavy polypeptide 10, non-muscle"	Control	Brg1_iko	37.8171	21.4614	5e-05	0.0131802	0	0	0
Grb10	growth factor receptor bound protein 10	Control	Brg1_iko	19.6119	6.7518	5e-05	0.0131802	0	0	0
Pttg1	pituitary tumor-transforming gene 1	Control	Brg1_iko	139.365	50.4632	5e-05	0.0131802	0	0	0
Cd68	CD68 antigen	Control	Brg1_iko	9.68409	26.3127	5e-05	0.0131802	0	0	0
Dbpht2	DNA binding protein with his-thr domain	Control	Brg1_iko	11.0169	5.13575	5e-05	0.0131802	1	0	0
Acp1	"acid phosphatase 1, soluble"	Control	Brg1_iko	4.64834	12.2607	5e-05	0.0131802	0	0	0
Ccdc88c	coiled-coil domain containing 88C	Control	Brg1_iko	8.2015	3.75214	5e-05	0.0131802	0	0	0
Paip1	polyadenylate binding protein-interacting protein 1	Control	Brg1_iko	13.6853	24.2461	0.0001	0.0238736	0	0	0
4833420G17Rik	RIKEN cDNA 4833420G17 gene	Control	Brg1_iko	25.5652	12.3055	5e-05	0.0131802	0	0	0
F13a1	"coagulation factor XIII, A1 subunit"	Control	Brg1_iko	1.28429	4.67282	0.0001	0.0238736	0	0	0
Irf9	interferon regulatory factor 9	Control	Brg1_iko	18.0262	5.67165	5e-05	0.0131802	0	0	0
Cma1	"chymase 1, mast cell"	Control	Brg1_iko	2.27044	0	5e-05	0.0131802	0	0	0
Rtp4	receptor transporter protein 4	Control	Brg1_iko	21.3585	8.19762	5e-05	0.0131802	0	0	0
Retnla	resistin like alpha	Control	Brg1_iko	7.04613	113.598	5e-05	0.0131802	0	0	0
Apod	apolipoprotein D	Control	Brg1_iko	27.4718	104.588	5e-05	0.0131802	0	0	1
Tpsb2	tryptase beta 2	Control	Brg1_iko	2.09621	0	5e-05	0.0131802	0	0	0
Dll1	delta-like 1 (Drosophila)	Control	Brg1_iko	43.2979	25.4036	0.0002	0.0408161	1	0	0
Vegfa	vascular endothelial growth factor A	Control	Brg1_iko	21.2724	37.6874	5e-05	0.0131802	0	0	0
Cyp1b1	"cytochrome P450, family 1, subfamily b, polypeptide 1"	Control	Brg1_iko	3.30091	8.0364	0.0002	0.0408161	0	0	0
Ttr	transthyretin	Control	Brg1_iko	38.2555	10.6527	5e-05	0.0131802	0	0	0
Sncaip	"synuclein, alpha interacting protein (synphilin)"	Control	Brg1_iko	22.6861	11.6499	5e-05	0.0131802	0	0	0
Lmnb1	lamin B1	Control	Brg1_iko	77.1189	41.7453	5e-05	0.0131802	0	0	0
Hbegf	heparin-binding EGF-like growth factor	Control	Brg1_iko	9.27953	20.1079	0.00015	0.0332974	0	0	0
Traf6	TNF receptor-associated factor 6	Control	Brg1_iko	9.99569	5.23353	5e-05	0.0131802	0	0	0
Gm14005	predicted gene 14005	Control	Brg1_iko	0	3.07784	0.0001	0.0238736	0	0	0
Gbp3	guanylate binding protein 3	Control	Brg1_iko	16.7889	3.96249	5e-05	0.0131802	0	0	0
Cpa3	"carboxypeptidase A3, mast cell"	Control	Brg1_iko	2.16162	0	5e-05	0.0131802	0	0	0
A930005H10Rik	RIKEN cDNA A930005H10 gene	Control	Brg1_iko	38.5075	89.9648	0.00015	0.0332974	0	0	0
Megf6	multiple EGF-like-domains 6	Control	Brg1_iko	4.51517	1.51714	0.0002	0.0408161	0	0	0
Hes5	hairy and enhancer of split 5 (Drosophila)	Control	Brg1_iko	1885.47	590.84	5e-05	0.0131802	0	0	0
Vcp	valosin containing protein	Control	Brg1_iko	11.2172	36.203	5e-05	0.0131802	0	0	0
Tnc	tenascin C	Control	Brg1_iko	5.04068	15.2401	5e-05	0.0131802	0	0	0
Fam167b	"family with sequence similarity 167, member B"	Control	Brg1_iko	0	1.25863	0.00015	0.0332974	0	0	0
