OPC	NFOL	MOL	Astrocyte	Neuron	Microglia
Lum	Epcam	Klk6	Hgf	Reln	Gpr84
Dcn	Casr	Gjb1	Gli1	Nhlh2	Bcl2a1d
Pdgfra	Matn1	Ppp1r14a	Aqp4	Trp73	Bcl2a1a
Col3a1	9630013A20Rik	Cyp2j12	Gli2	Slc17a6	Osm
Slc6a13	Enpp6	Hapln2	Bmpr1b	Lhx5	Slfn2
Fam19a4	Kif19a	Mbp	Gli3	Snhg11	Ccl3
Fam70b	Nfasc	Itgb4	Lgr6	Sst	Tnf
Slc22a6	Bmp4	Mog	Plcd4	5330417C22Rik	Ncf1
Pnlip	Dct	Ndrg1	Ppp1r3c	1500016L03Rik	Ccl4
Fam180a	Tmem108	Aspa	Tnc	Dlx1	Lrrc25
Pcdh15	Dnahc10	Mal	Ccrl1	Dlx6os1	Bcl2a1b
Col1a1	Tmprss5	Opalin	Pla2g3	Mrap2	P2ry6
Sulf1	Plxnb3	Gsn	Slc30a10	Nxph4	Gdf15
Lhfpl3	1810041L15Rik	Adssl1	Ptx3	Sp9	Gna15
Shc4	Capn6	Sp7	A2m	Gdf5	Tmem119
C1ql2	Pycr1	D7Ertd443e	Itih3	Mab21l1	Ccl9
C1ql1	Ust	Pdlim2	Gcnt4	Igfbpl1	Cd83
Prkg2	Col9a3	Trp53inp2	Mamdc2	Ecel1	Bcl2a1c
Galnt3	Adamts4	Insc	Slc14a1	Npy	Tlr2
Gsx1	Gpr17	Plekhb1	Atp13a4	Nos1	C1qa
Cspg4	Gp1bb	Gpr62	Slc14a2	Islr2	Ccr7
Ppapdc1a	Fyn	Rab37	Grm3	Crabp1	Ptafr
A930003O13Rik	Srpk3	Carns1	P4ha3	Ebf3	Slc15a3
Chrna4	Serpind1	Prr18	Paqr6	Celf6	Selplg
Wnt10a	Ssh3	Tppp3	Fgfr3	Tmem90a	Cd300a
Slc22a3	E2f8	Nkx6-2	Egfr	Kcnk9	C5ar1
Megf11	Col20a1	Mobp	Gdpd2	Dlx1as	Gpr183
Lad1	Kndc1	Cryab	Nwd1	Dlx5	Sfpi1
Stk32a	Atp10b	Slc45a3	Slc4a4	Ripk4	Irf8
Dll3	Fam163a	Ldb3	Itga7	Magel2	Pld4
Lingo3	St18	C030030A07Rik	Aqp9	Slc10a4	Cd14
Acan	Itgb7	Fam178b	Aldh1l1	Pnoc	Hck
Col1a2	Bfsp2	Cldn14	St6galnac5	Grem2	Ccl12
Lnx1	Mical3	Ermn	Cbs	Sp8	Sash3
2010317E24Rik	Gm98	Gpr37	Cybrd1	Scube3	Niacr1
Adamtsl3	Dusp15	Slc5a11	Fmo1	Kcnj5	C1qc
Nxph1	Gjc3	Dbil5	Phkg1	Clstn2	Tlr9
Gria3	Gbp11	Fa2h	Slc6a11	Lhx1	Slamf8
Kcnh8	Dusp9	Acy3	Otx1	Hcn4	C1qb
Sstr1	Il23a	S1pr5	Gm973	Npas4	Lrch4
Cdo1	Tnr	Nol3	Ttll8	4-Mar	Ncf4
Chst5	Chst8	Gng8	Cth	Grm2	Trem2
Aldh1a2	Sema5a	Slpi	Chrdl1	Nell1	Abcc3
Abca6	Brca1	Pla2g16	Ccdc80	Tmem130	H2-Ea-ps
E130309F12Rik	Tmem163	Slco3a1	Slc25a34	Glra2	Tifab
Slitrk1	Rnd2	Efhd1	Sorcs2	Pcsk1	Cd37
Lrrtm3	Lims2	Prr5l	Cyp4f15	Slc32a1	H2-Oa
Dpyd	Slc16a8	4-Sep	Entpd2	Cacna2d2	1810011H11Rik
Kcnk1	Sema3e	Sec14l5	Grhl1	St8sia2	Tbxas1
Fam196b	Dnaic2	Trf	5330437I02Rik	Tbr1	Crybb1
Cntn4	Chrne	Apod	Kcnn3	Dlx2	Csf1r
Prelp	Sytl5	Cldn11	Ccdc37	Trim66	Slc2a5
Itih2	Chn2	Gm410	Dio2	Lhx6	Il10ra
Col13a1	Rap2a	Trak2	Fzd10	Kcnh7	Lag3
Smoc1	Tmem2	Lpar1	Nat8	Bcl11a	Laptm5
Rnf43	Cpm	Pppde2	Sox9	Dlx6	Gpr157
Mmp15	Etnk2	Gamt	Fam181a	Klhl1	Rasal3
S100a3	Slc12a2	Tmem88b	Celsr1	Dpysl5	Rhoh
Mc4r	Col2a1	Adamtsl4	Slc15a2	Fibin	Adora3
