ID	Gene	Control_0	Control_1	Brg1_iko_0	Brg1_iko_1	status	Average_control	Average_Brg1_iKO	log2.fold_change.	test_stat	p_value	q_value	significant
XLOC_001406	Gm9767	1.2357	0.429183	0.000112209	0	NOTEST	0.832444	5.61E-05	-13.8569	0	1	1	no
XLOC_005139	Hist1h2ao	101.346	0.584985	0.76393	1.00181	OK	50.9654	0.882868	-5.85118	-2.82592	0.05325	0.681956	no
XLOC_013085	Car3	1.01466	1.05227	0	0.0506253	OK	1.03347	0.0253126	-5.35149	-1.71618	0.1195	0.857162	no
XLOC_002499	Ppia	25.0278	8.34925	0.439973	0.630587	OK	16.6885	0.53528	-4.96242	-3.12033	0.0528	0.681956	no
XLOC_006392	Lmo7	0.714561	0.843634	0.0506547	0.0281239	NOTEST	0.779097	0.0393893	-4.30593	0	1	1	no
XLOC_011831	6820408C15Rik	0.0624177	1.00509	0	0.0577368	NOTEST	0.533754	0.0288684	-4.20861	0	1	1	no
XLOC_010275	Rin1	0.345078	0.066981	0.0236996	0	NOTEST	0.206029	0.0118498	-4.11992	0	1	1	no
XLOC_001554	Ggt1	1.04042	0.420119	0	0.0859514	NOTEST	0.730267	0.0429757	-4.08683	0	1	1	no
XLOC_020967	Cdh1	0.875281	0	0	0.0525688	NOTEST	0.43764	0.0262844	-4.05747	0	1	1	no
XLOC_011187	Stkld1	0.119257	0.450267	0	0.0391994	NOTEST	0.284762	0.0195997	-3.86086	0	1	1	no
XLOC_016789	Oas3	0.204114	0	0.014123	0	NOTEST	0.102057	0.00706152	-3.85325	0	1	1	no
XLOC_007756	Nfe2	0.27012	0.27314	0	0.0397509	NOTEST	0.27163	0.0198755	-3.77258	0	1	1	no
XLOC_003670	Alox8	0.250019	0	0	0.0196112	NOTEST	0.12501	0.00980561	-3.67229	0	1	1	no
XLOC_021926	Pou2af1	0.472878	0	0.0396955	0	NOTEST	0.236439	0.0198478	-3.57442	0	1	1	no
XLOC_016616	Rassf6	0.123113	0.382714	0	0.0440692	NOTEST	0.252914	0.0220346	-3.5208	0	1	1	no
XLOC_009469	9130008F23Rik	0.369546	0.720703	0	0.0952806	NOTEST	0.545125	0.0476403	-3.51633	0	1	1	no
XLOC_011024	Cdnf	0.228843	0.0196224	0	0.0222268	NOTEST	0.124233	0.0111134	-3.48267	0	1	1	no
XLOC_004742	Kcns3	0	0.305559	0	0.0273619	NOTEST	0.15278	0.0136809	-3.48121	0	1	1	no
XLOC_020842	Rtbdn	0.459738	0	0	0.0415386	NOTEST	0.229869	0.0207693	-3.46829	0	1	1	no
XLOC_010432	Gna14	0.15756	0.697313	0.0307884	0.0526004	NOTEST	0.427436	0.0416944	-3.35778	0	1	1	no
XLOC_015562	Cort	2.36411	1.09989	0.338368	0	OK	1.732	0.169184	-3.35577	-1.21672	0.16055	0.874785	no
XLOC_010045	Myo7b	0.0251822	0.0908284	0	0.0113379	NOTEST	0.0580053	0.00566897	-3.35502	0	1	1	no
XLOC_006243	Cpne6	0	0.364618	0	0.0360296	NOTEST	0.182309	0.0180148	-3.33913	0	1	1	no
XLOC_017056	Met	0.0488271	0.0512874	0	0.00994717	NOTEST	0.0500572	0.00497359	-3.33122	0	1	1	no
XLOC_015208	Pcsk9	0.388529	0.0860414	0	0.0480672	NOTEST	0.237285	0.0240336	-3.3035	0	1	1	no
XLOC_009650	Cdkl4	0.582519	0.308228	0.0626329	0.0276079	NOTEST	0.445373	0.0451204	-3.30316	0	1	1	no
XLOC_012654	Nutm1	0.0406988	0.117139	0	0.0160487	NOTEST	0.0789189	0.00802435	-3.29791	0	1	1	no
XLOC_002265	Nr1h4	0.0449908	0.885377	0.0959424	0	NOTEST	0.465184	0.0479712	-3.27756	0	1	1	no
XLOC_003895	Pctp	1.7229	0.390986	0	0.21938	OK	1.05695	0.10969	-3.2684	-1.69042	0.04085	0.638868	no
XLOC_021427	Mylk3	0	0.825175	0	0.0858353	NOTEST	0.412588	0.0429177	-3.26506	0	1	1	no
XLOC_012595	Rag1	0	0.0954047	0	0.0100765	NOTEST	0.0477024	0.00503827	-3.24306	0	1	1	no
XLOC_000157	Icos	0	0.158651	0	0.0179172	NOTEST	0.0793256	0.00895861	-3.14644	0	1	1	no
XLOC_000929	Ecel1	0.349316	0.621771	0	0.111518	NOTEST	0.485544	0.0557589	-3.12233	0	1	1	no
XLOC_010472	Cd274	0.0579491	0.185008	0	0.0293119	NOTEST	0.121478	0.014656	-3.05114	0	1	1	no
XLOC_013954	Car14	0	1.38828	0.098575	0.0712601	NOTEST	0.694141	0.0849176	-3.03109	0	1	1	no
XLOC_005514	Ccl28	0.154017	0.113985	0	0.0333573	NOTEST	0.134001	0.0166786	-3.00617	0	1	1	no
XLOC_019457	Obox6	0.51856	0	0	0.0646552	NOTEST	0.25928	0.0323276	-3.00367	0	1	1	no
XLOC_003650	F930015N05Rik	0.27642	0.150259	0.0543506	0	NOTEST	0.213339	0.0271753	-2.97278	0	1	1	no
XLOC_020032	Omp	0.0903854	0.311564	0.0526255	0	NOTEST	0.200975	0.0263127	-2.93318	0	1	1	no
XLOC_021947	Chrna5	0.2525	0.221116	0.0332287	0.0289656	NOTEST	0.236808	0.0310971	-2.92886	0	1	1	no
XLOC_011136	Nxph2	0	0.220186	0	0.0292025	NOTEST	0.110093	0.0146012	-2.91456	0	1	1	no
XLOC_001035	Cdk18	0.110754	0.216176	0	0.0438771	NOTEST	0.163465	0.0219385	-2.89744	0	1	1	no
XLOC_005534	Chrm3	0.544795	0.163539	0.0964313	0	NOTEST	0.354167	0.0482156	-2.87686	0	1	1	no
