ABL1	HGNC:76	Abl1	ENSMUSG00000026842
ACVR1	HGNC:171	Acvr1	ENSMUSG00000026836
ACVR1B	HGNC:172	Acvr1b	ENSMUSG00000000532
AFAP1L2	HGNC:25901	Afap1l2	ENSMUSG00000025083
AHR	HGNC:348	Ahr	ENSMUSG00000019256
AIF1	HGNC:352	Aif1	ENSMUSG00000024397
AKAP8	HGNC:378	Akap8	ENSMUSG00000024045
ALOX15B	HGNC:434	Alox8	ENSMUSG00000020891
ANAPC10	HGNC:24077	Anapc10	ENSMUSG00000036977
ANAPC11	HGNC:14452	Anapc11	ENSMUSG00000025135
ANAPC2	HGNC:19989	Anapc2	ENSMUSG00000026965
ANAPC4	HGNC:19990	Anapc4	ENSMUSG00000029176
ANAPC5	HGNC:15713	Anapc5	ENSMUSG00000029472
ANLN	HGNC:14082	Anln	ENSMUSG00000036777
APBB1	HGNC:581	Apbb1	ENSMUSG00000037032
APBB2	HGNC:582	Apbb2	ENSMUSG00000029207
APC	HGNC:583	Apc	ENSMUSG00000005871
ARAP1	HGNC:16925	Arap1	ENSMUSG00000032812
ASNS	HGNC:753	Asns	ENSMUSG00000029752
ATM	HGNC:795	Atm	ENSMUSG00000034218
ATR	HGNC:882	Atr	ENSMUSG00000032409
ATRIP	HGNC:33499	Atrip	ENSMUSG00000025646
AURKA	HGNC:11393	Aurka	ENSMUSG00000027496
BCAT1	HGNC:976	Bcat1	ENSMUSG00000030268
BCCIP	HGNC:978	Bccip	ENSMUSG00000030983
BIRC5	HGNC:593	Birc5	ENSMUSG00000017716
BMP2	HGNC:1069	Bmp2	ENSMUSG00000027358
BMP4	HGNC:1071	Bmp4	ENSMUSG00000021835
BMP7	HGNC:1074	Bmp7	ENSMUSG00000008999
BOLL	HGNC:14273	Boll	ENSMUSG00000025977
BRCA2	HGNC:1101	Brca2	ENSMUSG00000041147
BRSK1	HGNC:18994	Brsk1	ENSMUSG00000035390
BTG3	HGNC:1132	Btg3	ENSMUSG00000022863
BTG4	HGNC:13862	Btg4	ENSMUSG00000032056
BUB1	HGNC:1148	Bub1	ENSMUSG00000027379
BUB1B	HGNC:1149	Bub1b	ENSMUSG00000040084
CCNA1	HGNC:1577	Ccna1	ENSMUSG00000027793
CCNA2	HGNC:1578	Ccna2	ENSMUSG00000027715
CCND1	HGNC:1582	Ccnd1	ENSMUSG00000070348
CCND2	HGNC:1583	Ccnd2	ENSMUSG00000000184
CCND3	HGNC:1585	Ccnd3	ENSMUSG00000034165
CCNE2	HGNC:1590	Ccne2	ENSMUSG00000028212
CCNG1	HGNC:1592	Ccng1	ENSMUSG00000020326
CCNG2	HGNC:1593	Ccng2	ENSMUSG00000029385
CCNK	HGNC:1596	Ccnk	ENSMUSG00000021258
CCNT1	HGNC:1599	Ccnt1	ENSMUSG00000011960
CCNT2	HGNC:1600	Ccnt2	ENSMUSG00000026349
CCP110	HGNC:24342	Ccp110	ENSMUSG00000033904
CD28	HGNC:1653	Cd28	ENSMUSG00000026012
CDC123	HGNC:16827	Cdc123	ENSMUSG00000039128
CDC16	HGNC:1720	Cdc16	ENSMUSG00000038416
CDC20	HGNC:1723	Cdc20	ENSMUSG00000006398
CDC23	HGNC:1724	Cdc23	ENSMUSG00000024370
CDC25A	HGNC:1725	Cdc25a	ENSMUSG00000032477
CDC25B	HGNC:1726	Cdc25b	ENSMUSG00000027330
CDC25C	HGNC:1727	Cdc25c	ENSMUSG00000044201
CDC27	HGNC:1728	Cdc27	ENSMUSG00000020687
CDC37	HGNC:1735	Cdc37	ENSMUSG00000019471
CDC45	HGNC:1739	Cdc45	ENSMUSG00000000028
CDC6	HGNC:1744	Cdc6	ENSMUSG00000017499
CDC7	HGNC:1745	Cdc7	ENSMUSG00000029283
CDCA5	HGNC:14626	Cdca5	ENSMUSG00000024791
CDK10	HGNC:1770	Cdk10	ENSMUSG00000033862
CDK13	HGNC:1733	Cdk13	ENSMUSG00000041297
CDK2	HGNC:1771	Cdk2	ENSMUSG00000025358
CDK2AP1	HGNC:14002	Cdk2ap1	ENSMUSG00000029394
CDK4	HGNC:1773	Cdk4	ENSMUSG00000006728
CDK5R1	HGNC:1775	Cdk5r1	ENSMUSG00000048895
CDK5R2	HGNC:1776	Cdk5r2	ENSMUSG00000090071
CDK5RAP1	HGNC:15880	Cdk5rap1	ENSMUSG00000027487
CDK5RAP3	HGNC:18673	Cdk5rap3	ENSMUSG00000018669
CDK6	HGNC:1777	Cdk6	ENSMUSG00000040274
CDK7	HGNC:1778	Cdk7	ENSMUSG00000069089
CDKN1A	HGNC:1784	Cdkn1a	ENSMUSG00000023067
CDKN1B	HGNC:1785	Cdkn1b	ENSMUSG00000003031
CDKN1C	HGNC:1786	Cdkn1c	ENSMUSG00000037664
CDKN2A	HGNC:1787	Cdkn2a	ENSMUSG00000044303
CDKN2B	HGNC:1788	Cdkn2b	ENSMUSG00000073802
CDKN2C	HGNC:1789	Cdkn2c	ENSMUSG00000028551
CDKN2D	HGNC:1790	Cdkn2d	ENSMUSG00000096472
CDKN3	HGNC:1791	Cdkn3	ENSMUSG00000037628
CDT1	HGNC:24576	Cdt1	ENSMUSG00000006585
CENPE	HGNC:1856	Cenpe	ENSMUSG00000045328
CENPF	HGNC:1857	Cenpf	ENSMUSG00000026605
CEP250	HGNC:1859	Cep250	ENSMUSG00000038241
CETN1	HGNC:1866	Cetn1	ENSMUSG00000050996
CETN3	HGNC:1868	Cetn3	ENSMUSG00000021537
CHEK1	HGNC:1925	Chek1	ENSMUSG00000032113
CHEK2	HGNC:16627	Chek2	ENSMUSG00000029521
CHFR	HGNC:20455	Chfr	ENSMUSG00000014668
CHMP1A	HGNC:8740	Chmp1a	ENSMUSG00000000743
CIT	HGNC:1985	Cit	ENSMUSG00000029516
CITED2	HGNC:1987	Cited2	ENSMUSG00000039910
CKAP5	HGNC:28959	Ckap5	ENSMUSG00000040549
CKS1B	HGNC:19083	Cks1b	ENSMUSG00000028044
CKS2	HGNC:2000	Cks2	ENSMUSG00000062248
CLIP1	HGNC:10461	Clip1	ENSMUSG00000049550
CNTROB	HGNC:29616	Cntrob	ENSMUSG00000032782
CUL1	HGNC:2551	Cul1	ENSMUSG00000029686
CUL2	HGNC:2552	Cul2	ENSMUSG00000024231
CUL3	HGNC:2553	Cul3	ENSMUSG00000004364
CUL4A	HGNC:2554	Cul4a	ENSMUSG00000031446
CUL5	HGNC:2556	Cul5	ENSMUSG00000032030
DBF4	HGNC:17364	Dbf4	ENSMUSG00000002297
DCTN2	HGNC:2712	Dctn2	ENSMUSG00000025410
DCTN3	HGNC:2713	Dctn3	ENSMUSG00000028447
DDB1	HGNC:2717	Ddb1	ENSMUSG00000024740
DDX11	HGNC:2736	Ddx11	ENSMUSG00000035842
DHRS2	HGNC:18349	Dhrs2	ENSMUSG00000022209
DLG1	HGNC:2900	Dlg1	ENSMUSG00000022770
DLGAP5	HGNC:16864	Dlgap5	ENSMUSG00000037544
DMC1	HGNC:2927	Dmc1	ENSMUSG00000022429
DTYMK	HGNC:3061	Dtymk	ENSMUSG00000026281
DUSP13	HGNC:19681	Dusp13	ENSMUSG00000021768
E2F1	HGNC:3113	E2f1	ENSMUSG00000027490
EGF	HGNC:3229	Egf	ENSMUSG00000028017
EGFL6	HGNC:3235	Egfl6	ENSMUSG00000000402
EIF4G2	HGNC:3297	Eif4g2	ENSMUSG00000005610
EPGN	HGNC:17470	Epgn	ENSMUSG00000035020
ERCC2	HGNC:3434	Ercc2	ENSMUSG00000030400
ERCC3	HGNC:3435	Ercc3	ENSMUSG00000024382
EREG	HGNC:3443	Ereg	ENSMUSG00000029377
ERN1	HGNC:3449	Ern1	ENSMUSG00000020715
ESPL1	HGNC:16856	Espl1	ENSMUSG00000058290
FANCG	HGNC:3588	Fancg	ENSMUSG00000028453
FBXO5	HGNC:13584	Fbxo5	ENSMUSG00000019773
FOXC1	HGNC:3800	Foxc1	ENSMUSG00000050295
FOXN3	HGNC:1928	Foxn3	ENSMUSG00000033713
FOXO4	HGNC:7139	Foxo4	ENSMUSG00000042903
GADD45A	HGNC:4095	Gadd45a	ENSMUSG00000036390
GAS1	HGNC:4165	Gas1	ENSMUSG00000052957
GAS7	HGNC:4169	Gas7	ENSMUSG00000033066
GFI1	HGNC:4237	Gfi1	ENSMUSG00000029275
GFI1B	HGNC:4238	Gfi1b	ENSMUSG00000026815
GML	HGNC:4375	Gml	ENSMUSG00000068349
GMNN	HGNC:17493	Gmnn	ENSMUSG00000006715
GPS1	HGNC:4549	Gps1	ENSMUSG00000025156
GPS2	HGNC:4550	Gps2	ENSMUSG00000023170
GSPT1	HGNC:4621	Gspt1	ENSMUSG00000062203
GTF2H1	HGNC:4655	Gtf2h1	ENSMUSG00000006599
GTPBP4	HGNC:21535	Gtpbp4	ENSMUSG00000021149
HCFC1	HGNC:4839	Hcfc1	ENSMUSG00000031386
HEXIM1	HGNC:24953	Hexim1	ENSMUSG00000048878
HEXIM2	HGNC:28591	Hexim2	ENSMUSG00000043372
HPGD	HGNC:5154	Hpgd	ENSMUSG00000031613
